Player ID,Serial No,Registration ID,Player Name,Mobile Number,Village,District,Role / Category,Batting Style,Bowling Style,Assigned Team ID,Assigned Team Name,Tournament ID,Tournament Name,Photo URL,Registration Status
"ply-kpl-001",1,"KPL-2026-001","Aniket Roy","9732700001","Kuapur","Paschim Medinipur","Batsman","Right Hand Bat","Right Arm Fast","team-ck-town-xi","CK TOWN XI","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_kpl_user.png","APPROVED"
"ply-kpl-002",2,"KPL-2026-002","Bappaditya Pal","9732700002","Kota","Paschim Medinipur","All-Rounder","Left Hand Bat","Right Arm Medium","team-ck-town-xi","CK TOWN XI","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_kpl_cartoon.png","APPROVED"
"ply-kpl-003",3,"KPL-2026-003","Chandan Sen","9732700003","Chandrakona Town","Paschim Medinipur","Bowler","Right Hand Bat","Right Arm Off Spin","team-ck-town-xi","CK TOWN XI","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_kpl_cutout.jpg","APPROVED"
"ply-kpl-004",4,"KPL-2026-004","Debjit Mal","9732700004","Ramjibanpur","Paschim Medinipur","Wicketkeeper / Batsman","Left Hand Bat","Left Arm Slow","team-ck-town-xi","CK TOWN XI","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_1.jpg","APPROVED"
"ply-kpl-005",5,"KPL-2026-005","Gourab Santra","9732700005","Ghatal","Paschim Medinipur","Batsman","Right Hand Bat","Right Arm Leg Spin","team-ck-town-xi","CK TOWN XI","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_2.jpg","APPROVED"
"ply-kpl-006",6,"KPL-2026-006","Indrajit Hazra","9732700006","Kuapur","Paschim Medinipur","All-Rounder","Left Hand Bat","Right Arm Fast","team-ck-town-xi","CK TOWN XI","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/player_boy_3.jpg","APPROVED"
"ply-kpl-007",7,"KPL-2026-007","Jagannath Middya","9732700007","Kota","Paschim Medinipur","Bowler","Right Hand Bat","Right Arm Medium","team-ck-town-xi","CK TOWN XI","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_jpl_cartoon.png","APPROVED"
"ply-kpl-008",8,"KPL-2026-008","Kaushik Dolui","9732700008","Chandrakona Town","Paschim Medinipur","Wicketkeeper / Batsman","Left Hand Bat","Right Arm Off Spin","team-ck-town-xi","CK TOWN XI","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_jpl_user.png","APPROVED"
"ply-kpl-009",9,"KPL-2026-009","Manas Bera","9732700009","Ramjibanpur","Paschim Medinipur","Batsman","Right Hand Bat","Left Arm Slow","team-ck-town-xi","CK TOWN XI","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_kpl_user.png","APPROVED"
"ply-kpl-010",10,"KPL-2026-010","Nilesh Panja","9732700010","Ghatal","Paschim Medinipur","All-Rounder","Left Hand Bat","Right Arm Leg Spin","team-ck-town-xi","CK TOWN XI","5cf4f50c-3930-486a-83c3-3f59414a7d6f","Kuapur Premier League","assets/card_kpl_cartoon.png","APPROVED"
